Model,Epochs,Acc_Clean_No_Attack_mean,Acc_Clean_No_Attack_std,Acc_FGSM_eps0005_mean,Acc_FGSM_eps0005_std,Acc_PGD_eps0005__10_steps_mean,Acc_PGD_eps0005__10_steps_std,Acc_PGD_eps0005__20_steps_mean,Acc_PGD_eps0005__20_steps_std
TSCMamba,116.9,0.8353125,0.029939536871093297,0.13656249999999998,0.0695042277391175,0.079375,0.05815075594234925,0.06124999999999999,0.054649292208489665
iTransformer,173.8,0.8315624999999999,0.018948600981778762,0.58875,0.050414944874180585,0.558125,0.05177408189003022,0.545625,0.05342440141608204
TSCMamba,202.5,0.874375,0.014936206940779108,0.33999999999999997,0.0387466396392427,0.2815625,0.039127030032532074,0.26031249999999995,0.04446464927020367
iTransformer,271.6,0.8643750000000001,0.012165667767213693,0.7525,0.022331545326436015,0.7474999999999999,0.023422448870925344,0.7465624999999999,0.024714076763613434
TSCMamba,286.3,0.8890625,0.00946140735655466,0.7703125,0.026321414101027663,0.7671875000000001,0.025695617465716702,0.7659375,0.025997879854796707
iTransformer,458.1,0.884375,0.013420936173672009,0.8256249999999999,0.01348546027723522,0.825,0.013176156917368247,0.8253125000000001,0.01321316289202215
TSCMamba,267.8,0.8793749999999999,0.009223309842157768,0.7646875,0.02760121839601368,0.7578125,0.02872621298570347,0.7565625,0.029626215985358494
iTransformer,426.2,0.8803124999999999,0.0090870118698185,0.8271875,0.012152281735908236,0.8262500000000002,0.012254534308210606,0.8253124999999999,0.013854558265142269
