Model,Epochs,Acc_Clean_No_Attack_mean,Acc_Clean_No_Attack_std,Acc_FGSM_eps0005_mean,Acc_FGSM_eps0005_std,Acc_PGD_eps0005__10_steps_mean,Acc_PGD_eps0005__10_steps_std,Acc_PGD_eps0005__20_steps_mean,Acc_PGD_eps0005__20_steps_std
TSCMamba,97.0,0.8571830985915494,0.013803136274290528,0.016338028169014078,0.04774534785223121,0.01098591549295774,0.03474051513987794,0.01126760563380281,0.035631297579362
iTransformer,170.0,0.8566197183098592,0.010152141161145937,0.3633802816901408,0.14357295717218707,0.2952112676056338,0.17453578107242634,0.2738028169014084,0.18119292400113923
TSCMamba,143.1,0.8670422535211267,0.010606588729722408,0.02253521126760561,0.022807432491063127,0.00028169014084507,0.0008907824394840493,0.00028169014084507,0.0008907824394840493
iTransformer,222.8,0.8780281690140844,0.007633981830677158,0.7940845070422535,0.022277477646074108,0.7935211267605633,0.021659429917751997,0.7932394366197182,0.0216655348917778
TSCMamba,50.0,0.7830985915492957,0.0,0.7830985915492957,0.0,0.7830985915492957,0.0,0.7830985915492957,0.0
iTransformer,345.7,0.8969014084507043,0.008927597614275818,0.8704225352112676,0.008808292506710695,0.8704225352112676,0.008808292506710695,0.8704225352112676,0.008808292506710695
TSCMamba,50.0,0.7830985915492957,0.0,0.7830985915492957,0.0,0.7830985915492957,0.0,0.7830985915492957,0.0
iTransformer,284.7,0.8909859154929578,0.013348533292008205,0.8707042253521127,0.01090577082308706,0.8690140845070422,0.01167117642690712,0.8690140845070422,0.01167117642690712
