Model,Epochs,Acc_Clean_No_Attack_mean,Acc_Clean_No_Attack_std,Acc_FGSM_eps0005_mean,Acc_FGSM_eps0005_std,Acc_PGD_eps0005__10_steps_mean,Acc_PGD_eps0005__10_steps_std,Acc_PGD_eps0005__20_steps_mean,Acc_PGD_eps0005__20_steps_std
TSCMamba,103.6,0.9253623188405797,0.016400236905089804,0.24637681159420288,0.09570827418434275,0.11231884057971012,0.08683902421375626,0.08260869565217391,0.0888941397314896
iTransformer,231.8,0.863768115942029,0.03108349360801045,0.5,0.05886984351185481,0.472463768115942,0.0571397731403573,0.45724637681159414,0.06105427843649121
TSCMamba,210.7,0.9282608695652174,0.015447610584849739,0.472463768115942,0.0406773612270935,0.4210144927536231,0.042038701747688964,0.4021739130434782,0.04242552673973502
iTransformer,376.0,0.8144927536231885,0.03436409515706037,0.6166666666666666,0.04176020446695616,0.6130434782608696,0.043638994359946705,0.6115942028985508,0.04269285235803999
TSCMamba,232.4,0.9405797101449276,0.01833204440677315,0.8442028985507246,0.025846539322503245,0.8413043478260869,0.02426304155332885,0.8413043478260869,0.02426304155332885
iTransformer,436.0,0.8905797101449275,0.03101772824636137,0.7681159420289855,0.02105748281903708,0.7659420289855073,0.022671884116439254,0.7630434782608696,0.02838549670613062
TSCMamba,183.6,0.8768115942028987,0.014084424866776094,0.7804347826086956,0.037271713282095754,0.7739130434782608,0.03995376449881224,0.7731884057971015,0.04071320347673582
iTransformer,461.9,0.8862318840579709,0.023924020317708954,0.7724637681159421,0.02882402684092039,0.7702898550724638,0.02838549670613062,0.768840579710145,0.027635637169011754
