Model,Epochs,Acc_Clean_No_Attack_mean,Acc_Clean_No_Attack_std,Acc_FGSM_eps0005_mean,Acc_FGSM_eps0005_std,Acc_PGD_eps0005__10_steps_mean,Acc_PGD_eps0005__10_steps_std,Acc_PGD_eps0005__20_steps_mean,Acc_PGD_eps0005__20_steps_std
TSCMamba,115.7,0.7975,0.060610321819893946,0.04000000000000001,0.03574601764921203,0.02,0.019720265943665386,0.015000000000000003,0.012909944487358056
iTransformer,287.6,0.8574999999999999,0.0717344640555245,0.2425,0.06460349147771435,0.2125,0.06263873490988714,0.21000000000000002,0.06687467549246294
TSCMamba,141.7,0.8299999999999998,0.04377975178854565,0.042499999999999996,0.066718729670827,0.027500000000000004,0.03809709816887487,0.025,0.03535533905932738
iTransformer,222.2,0.7525,0.06286007388548705,0.2725,0.08696263565463044,0.27,0.09036961141150637,0.27,0.09036961141150637
TSCMamba,124.6,0.7499999999999999,0.08975274678557504,0.10500000000000001,0.11352924243950935,0.0875,0.11380416903123054,0.0875,0.11380416903123054
iTransformer,295.3,0.8975,0.05945352993912323,0.51,0.1203005495507906,0.5075,0.11609981337912074,0.5075,0.11609981337912074
TSCMamba,116.6,0.6725,0.2035961416355646,0.075,0.08660254037844385,0.03,0.04684489774185067,0.03,0.04684489774185067
iTransformer,244.4,0.76,0.06476453075908482,0.4,0.1576740660702042,0.4025,0.15918629896375436,0.4025,0.15918629896375436
