Model,Epochs,Acc_Clean_No_Attack_mean,Acc_Clean_No_Attack_std,Acc_FGSM_eps0005_mean,Acc_FGSM_eps0005_std,Acc_PGD_eps0005__10_steps_mean,Acc_PGD_eps0005__10_steps_std,Acc_PGD_eps0005__20_steps_mean,Acc_PGD_eps0005__20_steps_std
TSCMamba,116.4,0.884,0.015539674432930733,0.18766666666666662,0.06340249634840789,0.06133333333333331,0.03580468277532948,0.046333333333333296,0.02545632910217073
iTransformer,206.0,0.985,0.003600411499115527,0.9006666666666667,0.010976968031314153,0.8953333333333333,0.011021863793455332,0.8943333333333333,0.011227171625839232
TSCMamba,183.0,0.9026666666666667,0.01608618761853676,0.5206666666666667,0.14961514414665614,0.3996666666666666,0.1420697967919073,0.35333333333333333,0.13447658018139794
iTransformer,249.2,0.986,0.0037843080813170045,0.962,0.013071503262091359,0.9613333333333334,0.013259052346823398,0.9613333333333334,0.013259052346823398
TSCMamba,268.0,0.9190000000000002,0.018260799273949014,0.8266666666666668,0.033147630867058436,0.8253333333333334,0.034289976219528104,0.8256666666666665,0.03314949304120486
iTransformer,289.3,0.986,0.0014054567378527394,0.9723333333333333,0.007209390310003733,0.9720000000000001,0.007888106377466154,0.9720000000000001,0.007888106377466154
TSCMamba,312.6,0.9263333333333333,0.015271210709803265,0.8400000000000001,0.02577203001054044,0.8383333333333335,0.026164248531814704,0.8383333333333335,0.026164248531814704
iTransformer,265.4,0.9853333333333332,0.0017213259316478952,0.9706666666666667,0.00409757531435236,0.9703333333333333,0.004288946459026355,0.9703333333333333,0.004288946459026355
